concept:name,lifecycle:transition,org:resource,time:timestamp,Activity,Resource,case:concept:name,case:variant,case:variant-index,case:creator
Authorize Supplier's Invoice payment,start,Karalda Nimwada,2011-01-04 15:13:00+00:00,Authorize Supplier's Invoice payment,Karalda Nimwada,1,Variant 2,2,Fluxicon Disco
Authorize Supplier's Invoice payment,complete,Karalda Nimwada,2011-01-04 15:13:00+00:00,Authorize Supplier's Invoice payment,Karalda Nimwada,1,Variant 2,2,Fluxicon Disco
Pay Invoice,start,Pedro Alvares,2011-01-04 15:22:00+00:00,Pay Invoice,Pedro Alvares,1,Variant 2,2,Fluxicon Disco
Pay Invoice,complete,Pedro Alvares,2011-01-04 15:31:00+00:00,Pay Invoice,Pedro Alvares,1,Variant 2,2,Fluxicon Disco
Create Purchase Requisition,start,Immanuel Karagianni,2011-01-01 00:16:00+00:00,Create Purchase Requisition,Immanuel Karagianni,2,Variant 20,20,Fluxicon Disco
Create Purchase Requisition,complete,Immanuel Karagianni,2011-01-01 00:29:00+00:00,Create Purchase Requisition,Immanuel Karagianni,2,Variant 20,20,Fluxicon Disco
Create Request for Quotation,start,Alberto Duport,2011-01-01 08:16:00+00:00,Create Request for Quotation,Alberto Duport,2,Variant 20,20,Fluxicon Disco
Create Request for Quotation,complete,Alberto Duport,2011-01-01 08:26:00+00:00,Create Request for Quotation,Alberto Duport,2,Variant 20,20,Fluxicon Disco
Analyze Request for Quotation,start,Karel de Groot,2011-01-01 09:34:00+00:00,Analyze Request for Quotation,Karel de Groot,2,Variant 20,20,Fluxicon Disco
Analyze Request for Quotation,complete,Karel de Groot,2011-01-01 09:38:00+00:00,Analyze Request for Quotation,Karel de Groot,2,Variant 20,20,Fluxicon Disco
Amend Request for Quotation,start,Christian Francois,2011-01-01 10:16:00+00:00,Amend Request for Quotation,Christian Francois,2,Variant 20,20,Fluxicon Disco
Amend Request for Quotation,complete,Christian Francois,2011-01-01 10:21:00+00:00,Amend Request for Quotation,Christian Francois,2,Variant 20,20,Fluxicon Disco
Analyze Request for Quotation,start,Magdalena Predutta,2011-01-01 11:15:00+00:00,Analyze Request for Quotation,Magdalena Predutta,2,Variant 20,20,Fluxicon Disco
Analyze Request for Quotation,complete,Magdalena Predutta,2011-01-01 11:48:00+00:00,Analyze Request for Quotation,Magdalena Predutta,2,Variant 20,20,Fluxicon Disco
Amend Request for Quotation,start,Esmana Liubiata,2011-01-01 12:33:00+00:00,Amend Request for Quotation,Esmana Liubiata,2,Variant 20,20,Fluxicon Disco
Amend Request for Quotation,complete,Esmana Liubiata,2011-01-01 12:39:00+00:00,Amend Request for Quotation,Esmana Liubiata,2,Variant 20,20,Fluxicon Disco
Analyze Request for Quotation,start,Karel de Groot,2011-01-01 13:28:00+00:00,Analyze Request for Quotation,Karel de Groot,2,Variant 20,20,Fluxicon Disco
Analyze Request for Quotation,complete,Karel de Groot,2011-01-01 13:38:00+00:00,Analyze Request for Quotation,Karel de Groot,2,Variant 20,20,Fluxicon Disco
Send Request for Quotation to Supplier,start,Francois de Perrier,2011-01-01 15:18:00+00:00,Send Request for Quotation to Supplier,Francois de Perrier,2,Variant 20,20,Fluxicon Disco
Send Request for Quotation to Supplier,complete,Francois de Perrier,2011-01-01 15:40:00+00:00,Send Request for Quotation to Supplier,Francois de Perrier,2,Variant 20,20,Fluxicon Disco
Create Quotation comparison Map,start,Karel de Groot,2011-01-01 15:55:00+00:00,Create Quotation comparison Map,Karel de Groot,2,Variant 20,20,Fluxicon Disco
Create Quotation comparison Map,complete,Karel de Groot,2011-01-01 16:43:00+00:00,Create Quotation comparison Map,Karel de Groot,2,Variant 20,20,Fluxicon Disco
Analyze Quotation Comparison Map,start,Esmana Liubiata,2011-01-01 23:33:00+00:00,Analyze Quotation Comparison Map,Esmana Liubiata,2,Variant 20,20,Fluxicon Disco
Analyze Quotation Comparison Map,complete,Esmana Liubiata,2011-01-01 23:44:00+00:00,Analyze Quotation Comparison Map,Esmana Liubiata,2,Variant 20,20,Fluxicon Disco
Choose best option,start,Fjodor Kowalski,2011-01-01 23:44:00+00:00,Choose best option,Fjodor Kowalski,2,Variant 20,20,Fluxicon Disco
Choose best option,complete,Fjodor Kowalski,2011-01-01 23:44:00+00:00,Choose best option,Fjodor Kowalski,2,Variant 20,20,Fluxicon Disco
Settle Conditions With Supplier,start,Magdalena Predutta,2011-01-02 02:15:00+00:00,Settle Conditions With Supplier,Magdalena Predutta,2,Variant 20,20,Fluxicon Disco
Settle Conditions With Supplier,complete,Magdalena Predutta,2011-01-02 15:07:00+00:00,Settle Conditions With Supplier,Magdalena Predutta,2,Variant 20,20,Fluxicon Disco
Create Purchase Order,start,Magdalena Predutta,2011-01-02 16:21:00+00:00,Create Purchase Order,Magdalena Predutta,2,Variant 20,20,Fluxicon Disco
Create Purchase Order,complete,Magdalena Predutta,2011-01-02 16:31:00+00:00,Create Purchase Order,Magdalena Predutta,2,Variant 20,20,Fluxicon Disco
Confirm Purchase Order,start,Esmeralda Clay,2011-01-02 20:23:00+00:00,Confirm Purchase Order,Esmeralda Clay,2,Variant 20,20,Fluxicon Disco
Confirm Purchase Order,complete,Esmeralda Clay,2011-01-02 20:29:00+00:00,Confirm Purchase Order,Esmeralda Clay,2,Variant 20,20,Fluxicon Disco
Deliver Goods Services,start,Esmeralda Clay,2011-01-03 03:15:00+00:00,Deliver Goods Services,Esmeralda Clay,2,Variant 20,20,Fluxicon Disco
Deliver Goods Services,complete,Esmeralda Clay,2011-01-04 14:53:00+00:00,Deliver Goods Services,Esmeralda Clay,2,Variant 20,20,Fluxicon Disco
Release Purchase Order,start,Elvira Lores,2011-01-04 23:01:00+00:00,Release Purchase Order,Elvira Lores,2,Variant 20,20,Fluxicon Disco
Release Purchase Order,complete,Elvira Lores,2011-01-04 23:02:00+00:00,Release Purchase Order,Elvira Lores,2,Variant 20,20,Fluxicon Disco
Approve Purchase Order for payment,start,Karel de Groot,2011-01-05 09:03:00+00:00,Approve Purchase Order for payment,Karel de Groot,2,Variant 20,20,Fluxicon Disco
Approve Purchase Order for payment,complete,Karel de Groot,2011-01-05 09:04:00+00:00,Approve Purchase Order for payment,Karel de Groot,2,Variant 20,20,Fluxicon Disco
Send Invoice,start,Esmeralda Clay,2011-01-05 14:50:00+00:00,Send Invoice,Esmeralda Clay,2,Variant 20,20,Fluxicon Disco
Send Invoice,complete,Esmeralda Clay,2011-01-05 14:50:00+00:00,Send Invoice,Esmeralda Clay,2,Variant 20,20,Fluxicon Disco
Release Supplier's Invoice,start,Pedro Alvares,2011-01-06 05:04:00+00:00,Release Supplier's Invoice,Pedro Alvares,2,Variant 20,20,Fluxicon Disco
Release Supplier's Invoice,complete,Pedro Alvares,2011-01-06 05:07:00+00:00,Release Supplier's Invoice,Pedro Alvares,2,Variant 20,20,Fluxicon Disco
Settle Dispute With Supplier,start,Karalda Nimwada,2011-01-06 05:38:00+00:00,Settle Dispute With Supplier,Karalda Nimwada,2,Variant 20,20,Fluxicon Disco
Settle Dispute With Supplier,complete,Karalda Nimwada,2011-01-06 05:58:00+00:00,Settle Dispute With Supplier,Karalda Nimwada,2,Variant 20,20,Fluxicon Disco
Authorize Supplier's Invoice payment,start,Pedro Alvares,2011-01-06 05:58:00+00:00,Authorize Supplier's Invoice payment,Pedro Alvares,2,Variant 20,20,Fluxicon Disco
Authorize Supplier's Invoice payment,complete,Pedro Alvares,2011-01-06 05:58:00+00:00,Authorize Supplier's Invoice payment,Pedro Alvares,2,Variant 20,20,Fluxicon Disco
Pay Invoice,start,Karalda Nimwada,2011-01-06 06:21:00+00:00,Pay Invoice,Karalda Nimwada,2,Variant 20,20,Fluxicon Disco
Pay Invoice,complete,Karalda Nimwada,2011-01-06 06:32:00+00:00,Pay Invoice,Karalda Nimwada,2,Variant 20,20,Fluxicon Disco
Create Purchase Requisition,start,Kim Passa,2011-01-01 02:23:00+00:00,Create Purchase Requisition,Kim Passa,3,Variant 1,1,Fluxicon Disco
Create Purchase Requisition,complete,Kim Passa,2011-01-01 03:03:00+00:00,Create Purchase Requisition,Kim Passa,3,Variant 1,1,Fluxicon Disco
Analyze Purchase Requisition,start,Heinz Gutschmidt,2011-01-02 01:50:00+00:00,Analyze Purchase Requisition,Heinz Gutschmidt,3,Variant 1,1,Fluxicon Disco
Analyze Purchase Requisition,complete,Heinz Gutschmidt,2011-01-02 01:58:00+00:00,Analyze Purchase Requisition,Heinz Gutschmidt,3,Variant 1,1,Fluxicon Disco
Create Request for Quotation,start,Francis Odell,2011-01-02 02:01:00+00:00,Create Request for Quotation,Francis Odell,3,Variant 1,1,Fluxicon Disco
Create Request for Quotation,complete,Francis Odell,2011-01-02 02:03:00+00:00,Create Request for Quotation,Francis Odell,3,Variant 1,1,Fluxicon Disco
Analyze Request for Quotation,start,Karel de Groot,2011-01-02 03:27:00+00:00,Analyze Request for Quotation,Karel de Groot,3,Variant 1,1,Fluxicon Disco
Analyze Request for Quotation,complete,Karel de Groot,2011-01-02 03:48:00+00:00,Analyze Request for Quotation,Karel de Groot,3,Variant 1,1,Fluxicon Disco
Send Request for Quotation to Supplier,start,Magdalena Predutta,2011-01-02 15:29:00+00:00,Send Request for Quotation to Supplier,Magdalena Predutta,3,Variant 1,1,Fluxicon Disco
Send Request for Quotation to Supplier,complete,Magdalena Predutta,2011-01-02 15:55:00+00:00,Send Request for Quotation to Supplier,Magdalena Predutta,3,Variant 1,1,Fluxicon Disco
Create Quotation comparison Map,start,Francois de Perrier,2011-01-02 16:00:00+00:00,Create Quotation comparison Map,Francois de Perrier,3,Variant 1,1,Fluxicon Disco
Create Quotation comparison Map,complete,Francois de Perrier,2011-01-02 21:00:00+00:00,Create Quotation comparison Map,Francois de Perrier,3,Variant 1,1,Fluxicon Disco
Analyze Quotation Comparison Map,start,Clement Duchot,2011-01-03 03:18:00+00:00,Analyze Quotation Comparison Map,Clement Duchot,3,Variant 1,1,Fluxicon Disco
Analyze Quotation Comparison Map,complete,Clement Duchot,2011-01-03 03:47:00+00:00,Analyze Quotation Comparison Map,Clement Duchot,3,Variant 1,1,Fluxicon Disco
Choose best option,start,Christian Francois,2011-01-03 03:47:00+00:00,Choose best option,Christian Francois,3,Variant 1,1,Fluxicon Disco
Choose best option,complete,Christian Francois,2011-01-03 03:47:00+00:00,Choose best option,Christian Francois,3,Variant 1,1,Fluxicon Disco
Settle Conditions With Supplier,start,Francois de Perrier,2011-01-03 14:14:00+00:00,Settle Conditions With Supplier,Francois de Perrier,3,Variant 1,1,Fluxicon Disco
Settle Conditions With Supplier,complete,Francois de Perrier,2011-01-03 22:16:00+00:00,Settle Conditions With Supplier,Francois de Perrier,3,Variant 1,1,Fluxicon Disco
Create Purchase Order,start,Francois de Perrier,2011-01-03 23:51:00+00:00,Create Purchase Order,Francois de Perrier,3,Variant 1,1,Fluxicon Disco
Create Purchase Order,complete,Francois de Perrier,2011-01-03 23:59:00+00:00,Create Purchase Order,Francois de Perrier,3,Variant 1,1,Fluxicon Disco
Confirm Purchase Order,start,Karen Clarens,2011-01-04 03:47:00+00:00,Confirm Purchase Order,Karen Clarens,3,Variant 1,1,Fluxicon Disco
Confirm Purchase Order,complete,Karen Clarens,2011-01-04 04:10:00+00:00,Confirm Purchase Order,Karen Clarens,3,Variant 1,1,Fluxicon Disco
Deliver Goods Services,start,Esmeralda Clay,2011-01-04 14:53:00+00:00,Deliver Goods Services,Esmeralda Clay,3,Variant 1,1,Fluxicon Disco
Deliver Goods Services,complete,Esmeralda Clay,2011-01-05 14:20:00+00:00,Deliver Goods Services,Esmeralda Clay,3,Variant 1,1,Fluxicon Disco
Release Purchase Order,start,Elvira Lores,2011-01-05 21:54:00+00:00,Release Purchase Order,Elvira Lores,3,Variant 1,1,Fluxicon Disco
Release Purchase Order,complete,Elvira Lores,2011-01-05 21:55:00+00:00,Release Purchase Order,Elvira Lores,3,Variant 1,1,Fluxicon Disco
Approve Purchase Order for payment,start,Francois de Perrier,2011-01-06 13:46:00+00:00,Approve Purchase Order for payment,Francois de Perrier,3,Variant 1,1,Fluxicon Disco
Approve Purchase Order for payment,complete,Francois de Perrier,2011-01-06 13:47:00+00:00,Approve Purchase Order for payment,Francois de Perrier,3,Variant 1,1,Fluxicon Disco
Send Invoice,start,Kiu Kan,2011-01-07 01:33:00+00:00,Send Invoice,Kiu Kan,3,Variant 1,1,Fluxicon Disco
Send Invoice,complete,Kiu Kan,2011-01-07 01:33:00+00:00,Send Invoice,Kiu Kan,3,Variant 1,1,Fluxicon Disco
Release Supplier's Invoice,start,Karalda Nimwada,2011-01-07 15:51:00+00:00,Release Supplier's Invoice,Karalda Nimwada,3,Variant 1,1,Fluxicon Disco
Release Supplier's Invoice,complete,Karalda Nimwada,2011-01-07 15:55:00+00:00,Release Supplier's Invoice,Karalda Nimwada,3,Variant 1,1,Fluxicon Disco
Authorize Supplier's Invoice payment,start,Karalda Nimwada,2011-01-07 15:55:00+00:00,Authorize Supplier's Invoice payment,Karalda Nimwada,3,Variant 1,1,Fluxicon Disco
Authorize Supplier's Invoice payment,complete,Karalda Nimwada,2011-01-07 15:55:00+00:00,Authorize Supplier's Invoice payment,Karalda Nimwada,3,Variant 1,1,Fluxicon Disco
Pay Invoice,start,Karalda Nimwada,2011-01-07 16:24:00+00:00,Pay Invoice,Karalda Nimwada,3,Variant 1,1,Fluxicon Disco
Pay Invoice,complete,Karalda Nimwada,2011-01-07 16:31:00+00:00,Pay Invoice,Karalda Nimwada,3,Variant 1,1,Fluxicon Disco
Create Purchase Requisition,start,Fjodor Kowalski,2011-01-01 08:39:00+00:00,Create Purchase Requisition,Fjodor Kowalski,4,Variant 37,37,Fluxicon Disco
Create Purchase Requisition,complete,Fjodor Kowalski,2011-01-01 09:00:00+00:00,Create Purchase Requisition,Fjodor Kowalski,4,Variant 37,37,Fluxicon Disco
Analyze Purchase Requisition,start,Maris Freeman,2011-01-01 18:45:00+00:00,Analyze Purchase Requisition,Maris Freeman,4,Variant 37,37,Fluxicon Disco
Analyze Purchase Requisition,complete,Maris Freeman,2011-01-01 18:51:00+00:00,Analyze Purchase Requisition,Maris Freeman,4,Variant 37,37,Fluxicon Disco
Create Request for Quotation,start,Heinz Gutschmidt,2011-01-01 18:56:00+00:00,Create Request for Quotation,Heinz Gutschmidt,4,Variant 37,37,Fluxicon Disco
Create Request for Quotation,complete,Heinz Gutschmidt,2011-01-01 18:58:00+00:00,Create Request for Quotation,Heinz Gutschmidt,4,Variant 37,37,Fluxicon Disco
Analyze Request for Quotation,start,Francois de Perrier,2011-01-01 19:58:00+00:00,Analyze Request for Quotation,Francois de Perrier,4,Variant 37,37,Fluxicon Disco
Analyze Request for Quotation,complete,Francois de Perrier,2011-01-01 20:19:00+00:00,Analyze Request for Quotation,Francois de Perrier,4,Variant 37,37,Fluxicon Disco
Amend Request for Quotation,start,Nico Ojenbeer,2011-01-01 21:06:00+00:00,Amend Request for Quotation,Nico Ojenbeer,4,Variant 37,37,Fluxicon Disco
Amend Request for Quotation,complete,Nico Ojenbeer,2011-01-01 21:14:00+00:00,Amend Request for Quotation,Nico Ojenbeer,4,Variant 37,37,Fluxicon Disco
Analyze Request for Quotation,start,Francois de Perrier,2011-01-01 22:01:00+00:00,Analyze Request for Quotation,Francois de Perrier,4,Variant 37,37,Fluxicon Disco
Analyze Request for Quotation,complete,Francois de Perrier,2011-01-01 22:24:00+00:00,Analyze Request for Quotation,Francois de Perrier,4,Variant 37,37,Fluxicon Disco
Send Request for Quotation to Supplier,start,Karel de Groot,2011-01-02 02:42:00+00:00,Send Request for Quotation to Supplier,Karel de Groot,4,Variant 37,37,Fluxicon Disco
Send Request for Quotation to Supplier,complete,Karel de Groot,2011-01-02 03:01:00+00:00,Send Request for Quotation to Supplier,Karel de Groot,4,Variant 37,37,Fluxicon Disco
Create Quotation comparison Map,start,Karel de Groot,2011-01-02 03:48:00+00:00,Create Quotation comparison Map,Karel de Groot,4,Variant 37,37,Fluxicon Disco
Create Quotation comparison Map,complete,Karel de Groot,2011-01-02 09:08:00+00:00,Create Quotation comparison Map,Karel de Groot,4,Variant 37,37,Fluxicon Disco
Analyze Quotation Comparison Map,start,Elvira Lores,2011-01-02 15:59:00+00:00,Analyze Quotation Comparison Map,Elvira Lores,4,Variant 37,37,Fluxicon Disco
Analyze Quotation Comparison Map,complete,Elvira Lores,2011-01-02 16:13:00+00:00,Analyze Quotation Comparison Map,Elvira Lores,4,Variant 37,37,Fluxicon Disco
Choose best option,start,Kim Passa,2011-01-02 16:13:00+00:00,Choose best option,Kim Passa,4,Variant 37,37,Fluxicon Disco
Choose best option,complete,Kim Passa,2011-01-02 16:13:00+00:00,Choose best option,Kim Passa,4,Variant 37,37,Fluxicon Disco
Settle Conditions With Supplier,start,Magdalena Predutta,2011-01-02 19:13:00+00:00,Settle Conditions With Supplier,Magdalena Predutta,4,Variant 37,37,Fluxicon Disco
Settle Conditions With Supplier,complete,Magdalena Predutta,2011-01-03 07:45:00+00:00,Settle Conditions With Supplier,Magdalena Predutta,4,Variant 37,37,Fluxicon Disco
Create Purchase Order,start,Magdalena Predutta,2011-01-03 12:08:00+00:00,Create Purchase Order,Magdalena Predutta,4,Variant 37,37,Fluxicon Disco
Create Purchase Order,complete,Magdalena Predutta,2011-01-03 12:17:00+00:00,Create Purchase Order,Magdalena Predutta,4,Variant 37,37,Fluxicon Disco
Confirm Purchase Order,start,Carmen Finacse,2011-01-03 16:13:00+00:00,Confirm Purchase Order,Carmen Finacse,4,Variant 37,37,Fluxicon Disco
Confirm Purchase Order,complete,Carmen Finacse,2011-01-03 16:38:00+00:00,Confirm Purchase Order,Carmen Finacse,4,Variant 37,37,Fluxicon Disco
Deliver Goods Services,start,Carmen Finacse,2011-01-03 23:05:00+00:00,Deliver Goods Services,Carmen Finacse,4,Variant 37,37,Fluxicon Disco
Deliver Goods Services,complete,Carmen Finacse,2011-01-05 02:30:00+00:00,Deliver Goods Services,Carmen Finacse,4,Variant 37,37,Fluxicon Disco
Release Purchase Order,start,Miu Hanwan,2011-01-05 09:57:00+00:00,Release Purchase Order,Miu Hanwan,4,Variant 37,37,Fluxicon Disco
Release Purchase Order,complete,Miu Hanwan,2011-01-05 09:58:00+00:00,Release Purchase Order,Miu Hanwan,4,Variant 37,37,Fluxicon Disco
Approve Purchase Order for payment,start,Magdalena Predutta,2011-01-06 00:29:00+00:00,Approve Purchase Order for payment,Magdalena Predutta,4,Variant 37,37,Fluxicon Disco
Approve Purchase Order for payment,complete,Magdalena Predutta,2011-01-06 00:30:00+00:00,Approve Purchase Order for payment,Magdalena Predutta,4,Variant 37,37,Fluxicon Disco
Send Invoice,start,Esmeralda Clay,2011-01-06 06:13:00+00:00,Send Invoice,Esmeralda Clay,4,Variant 37,37,Fluxicon Disco
Send Invoice,complete,Esmeralda Clay,2011-01-06 06:13:00+00:00,Send Invoice,Esmeralda Clay,4,Variant 37,37,Fluxicon Disco
Authorize Supplier's Invoice payment,start,Pedro Alvares,2011-01-06 20:39:00+00:00,Authorize Supplier's Invoice payment,Pedro Alvares,4,Variant 37,37,Fluxicon Disco
Authorize Supplier's Invoice payment,complete,Pedro Alvares,2011-01-06 20:39:00+00:00,Authorize Supplier's Invoice payment,Pedro Alvares,4,Variant 37,37,Fluxicon Disco
Pay Invoice,start,Karalda Nimwada,2011-01-06 21:25:00+00:00,Pay Invoice,Karalda Nimwada,4,Variant 37,37,Fluxicon Disco
Pay Invoice,complete,Karalda Nimwada,2011-01-06 21:32:00+00:00,Pay Invoice,Karalda Nimwada,4,Variant 37,37,Fluxicon Disco
Create Purchase Requisition,start,Esmana Liubiata,2011-01-01 09:49:00+00:00,Create Purchase Requisition,Esmana Liubiata,5,Variant 37,37,Fluxicon Disco
Create Purchase Requisition,complete,Esmana Liubiata,2011-01-01 10:35:00+00:00,Create Purchase Requisition,Esmana Liubiata,5,Variant 37,37,Fluxicon Disco
Analyze Purchase Requisition,start,Maris Freeman,2011-01-02 01:50:00+00:00,Analyze Purchase Requisition,Maris Freeman,5,Variant 37,37,Fluxicon Disco
Analyze Purchase Requisition,complete,Maris Freeman,2011-01-02 01:57:00+00:00,Analyze Purchase Requisition,Maris Freeman,5,Variant 37,37,Fluxicon Disco
Create Request for Quotation,start,Maris Freeman,2011-01-02 02:05:00+00:00,Create Request for Quotation,Maris Freeman,5,Variant 37,37,Fluxicon Disco
Create Request for Quotation,complete,Maris Freeman,2011-01-02 02:06:00+00:00,Create Request for Quotation,Maris Freeman,5,Variant 37,37,Fluxicon Disco
Analyze Request for Quotation,start,Karel de Groot,2011-01-02 03:02:00+00:00,Analyze Request for Quotation,Karel de Groot,5,Variant 37,37,Fluxicon Disco
Analyze Request for Quotation,complete,Karel de Groot,2011-01-02 03:27:00+00:00,Analyze Request for Quotation,Karel de Groot,5,Variant 37,37,Fluxicon Disco
Amend Request for Quotation,start,Anne Olwada,2011-01-02 04:21:00+00:00,Amend Request for Quotation,Anne Olwada,5,Variant 37,37,Fluxicon Disco
Amend Request for Quotation,complete,Anne Olwada,2011-01-02 04:33:00+00:00,Amend Request for Quotation,Anne Olwada,5,Variant 37,37,Fluxicon Disco
Analyze Request for Quotation,start,Karel de Groot,2011-01-02 09:08:00+00:00,Analyze Request for Quotation,Karel de Groot,5,Variant 37,37,Fluxicon Disco
Analyze Request for Quotation,complete,Karel de Groot,2011-01-02 09:42:00+00:00,Analyze Request for Quotation,Karel de Groot,5,Variant 37,37,Fluxicon Disco
Send Request for Quotation to Supplier,start,Karel de Groot,2011-01-02 18:49:00+00:00,Send Request for Quotation to Supplier,Karel de Groot,5,Variant 37,37,Fluxicon Disco
Send Request for Quotation to Supplier,complete,Karel de Groot,2011-01-02 19:21:00+00:00,Send Request for Quotation to Supplier,Karel de Groot,5,Variant 37,37,Fluxicon Disco
Create Quotation comparison Map,start,Karel de Groot,2011-01-02 19:36:00+00:00,Create Quotation comparison Map,Karel de Groot,5,Variant 37,37,Fluxicon Disco
Create Quotation comparison Map,complete,Karel de Groot,2011-01-02 20:14:00+00:00,Create Quotation comparison Map,Karel de Groot,5,Variant 37,37,Fluxicon Disco
Analyze Quotation Comparison Map,start,Anne Olwada,2011-01-03 03:18:00+00:00,Analyze Quotation Comparison Map,Anne Olwada,5,Variant 37,37,Fluxicon Disco
Analyze Quotation Comparison Map,complete,Anne Olwada,2011-01-03 03:30:00+00:00,Analyze Quotation Comparison Map,Anne Olwada,5,Variant 37,37,Fluxicon Disco
Choose best option,start,Nico Ojenbeer,2011-01-03 03:30:00+00:00,Choose best option,Nico Ojenbeer,5,Variant 37,37,Fluxicon Disco
Choose best option,complete,Nico Ojenbeer,2011-01-03 03:30:00+00:00,Choose best option,Nico Ojenbeer,5,Variant 37,37,Fluxicon Disco
Settle Conditions With Supplier,start,Magdalena Predutta,2011-01-03 13:18:00+00:00,Settle Conditions With Supplier,Magdalena Predutta,5,Variant 37,37,Fluxicon Disco
